x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
0.0,0.0,149499961546.35632,107208000.0,149496282346.73688,491207901.23041445
0.0,0.0,149499884639.07886,214415972.42449343,149492526238.54028,598415676.1074048
0.0,0.0,149499730824.57333,321623889.6980233,149488693220.5162,705623198.2739302
0.0,0.0,149499500102.91882,428831696.6696828,149484783289.3831,812830412.5550356
0.0,0.0,149499192474.25372,536039338.18868536,149480796441.91855,920037263.768502
0.0,0.0,149498807938.7559,643246759.1043861,149476732674.9395,1027243696.7248154
0.0,0.0,149498346496.64273,750453904.2663101,149472591985.30237,1134449656.2271948
0.0,0.0,149497808148.17117,857660718.5241803,149468374369.9028,1241655087.0716188
0.0,0.0,149497192893.6377,964867146.7279463,149464079825.67596,1348859934.0468545
0.0,0.0,149496500733.37823,1072073133.7278124,149459708349.59637,1456064141.9344833
0.0,0.0,149495731667.7683,1179278624.374266,149455259938.67804,1563267655.5089295
0.0,0.0,149494885697.22293,1286483563.518105,149450734589.9744,1670470419.5374873
0.0,0.0,149493962822.1966,1393687896.010468,149446132300.5783,1777672378.7803488
0.0,0.0,149492963043.18338,1500891566.7028608,149441453067.6221,1884873477.9906316
0.0,0.0,149491886360.71686,1608094520.4471853,149436696888.27762,1992073661.9144053
0.0,0.0,149490732775.37012,1715296702.095768,149431863759.75616,2099272875.2907202
0.0,0.0,149489502287.75574,1822498056.5013878,149426953679.30856,2206471062.851635
0.0,0.0,149488194898.52588,1929698528.517305,149421966644.22513,2313668169.322243
0.0,0.0,149486810608.3722,2036898062.9972887,149416902651.83572,2420864139.420702
0.0,0.0,149485349418.02582,2144096604.7956457,149411761699.5098,2528058917.85826
0.0,0.0,149483811328.25748,2251294098.7672486,149406543784.65625,2635252449.339284
0.0,0.0,149482196339.87735,2358490489.7675643,149401248904.72363,2742444678.5612864
0.0,0.0,149480504453.73514,2465685722.6526814,149395877057.19998,2849635550.2149553
0.0,0.0,149478735670.7201,2572879742.27934,149390428239.61304,2956825008.9841795
0.0,0.0,149476889991.76096,2680072493.5049586,149384902449.53006,3064012999.5460777
0.0,0.0,149474967417.82602,2787263921.1876626,149379299684.55795,3171199466.571026
0.0,0.0,149472967949.92303,2894453970.1863136,149373619942.34323,3278384354.7226853
0.0,0.0,149470891589.0993,3001642585.3605366,149367863220.57208,3385567608.65803
0.0,0.0,149468738336.44165,3108829711.570749,149362029516.97028,3492749173.0273757
0.0,0.0,149466508193.0764,3216015293.678188,149356118829.3033,3599928992.474406
0.0,0.0,149464201160.16934,3323199276.5449395,149350131155.3763,3707107011.636201
0.0,0.0,149461817238.9259,3430381605.0339665,149344066493.0341,3814283175.1432657
0.0,0.0,149459356430.59094,3537562224.009137,149337924840.16122,3921457427.619558
0.0,0.0,149456818736.44876,3644741078.335253,149331706194.68192,4028629713.682515
0.0,0.0,149454204157.8233,3751918112.878077,149325410554.56012,4135799977.9430833
0.0,0.0,149451512696.07794,3859093272.5043626,149319037917.79953,4242968165.0057454
0.0,0.0,149448744352.6156,3966266502.081881,149312588282.4436,4350134219.468548
0.0,0.0,149445899128.87866,4073437746.4794507,149306061646.57553,4457298085.92313
0.0,0.0,149442977026.34906,4180606950.5669646,149299458008.31824,4564459708.954751
0.0,0.0,149439978046.54822,4287774059.2154183,149292777365.8345,4671619033.142319
0.0,0.0,149436902191.03708,4394939017.296939,149286019717.32684,4778776003.058418
0.0,0.0,149433749461.41608,4502101769.684814,149279185061.0376,4885930563.269338
0.0,0.0,149430519859.32516,4609262261.253519,149272273395.24896,4993082658.335098
0.0,0.0,149427213386.44382,4716420436.878743,149265284718.2829,5100232232.809484
0.0,0.0,149423830044.49094,4823576241.437424,149258219028.50122,5207379231.240065
